Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
206),03/01/2023,03:15:00,,,,,2.811,,,,,,,
207),03/01/2023,03:30:00,,,,,2.898,,,,,,,
208),03/01/2023,03:45:00,,,,,3.013,,,,,,,
209),03/01/2023,04:00:00,,,,,3.173,,,,,,,
210),03/01/2023,04:15:00,,,,,3.37,,,,,,,
211),03/01/2023,04:30:00,,,,,3.622,,,,,,,
212),03/01/2023,04:45:00,,,,,3.935,,,,,,,
213),03/01/2023,05:00:00,,,,,4.268,,,,,,,
214),03/01/2023,05:15:00,,,,,4.629,,,,,,,
215),03/01/2023,05:30:00,,,,,5.007,,,,,,,
216),03/01/2023,05:45:00,,,,,5.382,,,,,,,
217),03/01/2023,06:00:00,,,,,5.75,,,,,,,
218),03/01/2023,06:15:00,,,,,6.116,,,,,,,
219),03/01/2023,06:30:00,,,,,6.459,,,,,,,
220),03/01/2023,06:45:00,,,,,6.809,,,,,,,
221),03/01/2023,07:00:00,,,,,7.126,,,,,,,
222),03/01/2023,07:15:00,,,,,7.416,,,,,,,
223),03/01/2023,07:30:00,,,,,7.694,,,,,,,
224),03/01/2023,07:45:00,,,,,7.928,,,,,,,
225),03/01/2023,08:00:00,,,,,8.122,,,,,,,
226),03/01/2023,08:15:00,,,,,8.27,,,,,,,
227),03/01/2023,08:30:00,,,,,8.371,,,,,,,
228),03/01/2023,08:45:00,,,,,8.417,,,,,,,
229),03/01/2023,09:00:00,,,,,8.408,,,,,,,
230),03/01/2023,09:15:00,,,,,8.346,,,,,,,
231),03/01/2023,09:30:00,,,,,8.241,,,,,,,
232),03/01/2023,09:45:00,,,,,8.092,,,,,,,
233),03/01/2023,10:00:00,,,,,7.903,,,,,,,
234),03/01/2023,10:15:00,,,,,7.682,,,,,,,
235),03/01/2023,10:30:00,,,,,7.438,,,,,,,
236),03/01/2023,10:45:00,,,,,7.17,,,,,,,
237),03/01/2023,11:00:00,,,,,6.894,,,,,,,
238),03/01/2023,11:15:00,,,,,6.613,,,,,,,
239),03/01/2023,11:30:00,,,,,6.322,,,,,,,
240),03/01/2023,11:45:00,,,,,6.023,,,,,,,
241),03/01/2023,12:00:00,,,,,5.724,,,,,,,
242),03/01/2023,12:15:00,,,,,5.419,,,,,,,
243),03/01/2023,12:30:00,,,,,5.125,,,,,,,
244),03/01/2023,12:45:00,,,,,4.827,,,,,,,
245),03/01/2023,13:00:00,,,,,4.535,,,,,,,
246),03/01/2023,13:15:00,,,,,4.269,,,,,,,
247),03/01/2023,13:30:00,,,,,4.02,,,,,,,
248),03/01/2023,13:45:00,,,,,3.807,,,,,,,
249),03/01/2023,14:00:00,,,,,3.623,,,,,,,
250),03/01/2023,14:15:00,,,,,3.468,,,,,,,
251),03/01/2023,14:30:00,,,,,3.329,,,,,,,
252),03/01/2023,14:45:00,,,,,3.223,,,,,,,
253),03/01/2023,15:00:00,,,,,3.156,,,,,,,
254),03/01/2023,15:15:00,,,,,3.155,,,,,,,
255),03/01/2023,15:30:00,,,,,3.203,,,,,,,
256),03/01/2023,15:45:00,,,,,3.272,,,,,,,
257),03/01/2023,16:00:00,,,,,3.391,,,,,,,
258),03/01/2023,16:15:00,,,,,3.545,,,,,,,
259),03/01/2023,16:30:00,,,,,3.744,,,,,,,
260),03/01/2023,16:45:00,,,,,3.967,,,,,,,
261),03/01/2023,17:00:00,,,,,4.243,,,,,,,
262),03/01/2023,17:15:00,,,,,4.543,,,,,,,
263),03/01/2023,17:30:00,,,,,4.874,,,,,,,
264),03/01/2023,17:45:00,,,,,5.236,,,,,,,
265),03/01/2023,18:00:00,,,,,5.594,,,,,,,
